filename,DS_TYPENAME,size_node,RECLAIM,ALLOC,POOL,MILLIS_TO_RUN,INS,DEL,RQ,RQSIZE,MAXKEY,PREFILL_THREADS,TOTAL_THREADS,WORK_THREADS,RQ_THREADS,INSERT_FUNC,threads_final_keysum,threads_final_size,final_keysum,final_size,validate_result,tree_stats_height,tree_stats_numInternals,tree_stats_numLeaves,tree_stats_numNodes,tree_stats_numKeys,tree_stats_avgDegreeInternal,tree_stats_avgDegreeLeaves,tree_stats_avgKeyDepth,tree_stats_sizeInBytes,sum_num_try_rebuild_at_depth_by_index,sum_num_complete_rebuild_at_depth_by_index,sum_num_help_subtree_total,first_thread_announced_epoch_by_index,sum_duration_all_ops_total,sum_duration_markAndCount_total,sum_duration_wastedWorkBuilding_total,sum_duration_buildAndReplace_total,sum_duration_rotateAndFree_total,sum_duration_traverseAndRetire_total,total_find,total_rq,total_updates,total_queries,total_ops,find_throughput,rq_throughput,update_throughput,query_throughput,total_throughput,PAPI_L2_TCM,PAPI_L3_TCM,PAPI_TOT_CYC,PAPI_RES_STL,maxresident_mb,prefill_elapsed_ms
istree_exp9_zipf/step10021.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1149909533432267,11500085,1149909533432267,11500085,success,7,2222849,13574341,15797190,11500085,7.10673,0.847193,4.10105,395027680,0 0 19327 470983 8926,0 0 19327 470983 8926,,123606,,,,,,,332489935,0,3360398,332489935,335850333,11082997,0,112013,11082997,11195011,87.0219,46.2737,5975.34,,6083,1406
istree_exp9_zipf/step10022.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,48,48,48,0,insertIfAbsent,1264454377365847,12645557,1264454377365847,12645557,success,7,2227672,14682844,16910516,12645557,7.59112,0.861247,4.05312,413139552,1 3093 68274 728591 15371,1 3093 68272 728591 15371,400,53674,,,,,,,590725206,0,5966224,590725206,596691430,19690840,0,198874,19690840,19889714,74.9175,37.6896,6709.52,,6710,1135
istree_exp9_zipf/step10023.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,96,96,96,0,insertIfAbsent,1470385659017151,14705141,1470385659017151,14705141,success,7,2299474,16794758,19094232,14705141,8.30374,0.875579,4.03355,452674704,1 6537 102489 1424907 31854,1 6537 102488 1424907 31854,1352,23996,,,,,,,1062978838,0,10736425,1062978838,1073715263,35432627,0,357880,35432627,35790508,79.8671,45.1511,7417.63,,6789,1234
istree_exp9_zipf/step10024.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,144,144,144,0,insertIfAbsent,1640882147806460,16407528,1640882147806460,16407528,success,7,2955330,19184058,22139388,16407528,7.49134,0.855269,4.09336,543385104,3 6659 76860 1929410 35342,2 6659 76859 1929407 35342,3204,14726,,,,,,,1462508456,0,14777726,1462508456,1477286182,48750281,0,492590,48750281,49242872,80.6669,46.3171,8034.35,,7218,1155
istree_exp9_zipf/step10025.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,190,190,190,0,insertIfAbsent,1769326898035750,17694529,1769326898035750,17694529,success,7,2946780,20410752,23357532,17694529,7.92646,0.866922,4.03882,562315136,2 10480 85724 2342404 45198,2 10480 85724 2342401 45198,3270,11128,,,,,,,1768774585,0,17873566,1768774585,1786648151,58959152,0,595785,58959152,59554938,81.3907,47.1022,8767.51,,7225,1230
istree_exp9_zipf/step10026.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1140324761987058,11403701,1140324761987058,11403701,success,9,212568,1461223,1673791,11403701,7.87414,7.80422,8,348148528,,,,3722 120290,,,,,,,311824859,0,3147351,311824859,314972210,10394161,0,104911,10394161,10499073,89.6131,45.459,6373.9,,3041,1622
istree_exp9_zipf/step10027.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,48,48,48,0,insertIfAbsent,1245617020831957,12459368,1245617020831957,12459368,success,9,232439,1598579,1831018,12459368,7.87741,7.79403,8,380851744,,,,976 51412,,,,,,,548927417,0,5544342,548927417,554471759,18297580,0,184811,18297580,18482391,80.7233,39.0492,7211.67,,3120,1261
istree_exp9_zipf/step10028.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,96,96,96,0,insertIfAbsent,1462620650930511,14626850,1462620650930511,14626850,success,9,273062,1879634,2152696,14626850,7.88354,7.78175,8,447760768,,,,336 24158,,,,,,,1045064335,0,10550679,1045064335,1055615014,34835477,0,351689,34835477,35187167,84.5641,46.6109,7556.11,,3261,1149
istree_exp9_zipf/step10029.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,144,144,144,0,insertIfAbsent,1649397317555460,16490809,1649397317555460,16490809,success,9,308382,2122351,2430733,16490809,7.88221,7.77007,8,505592464,,,,294 15156,,,,,,,1482178064,0,14976007,1482178064,1497154071,49405935,0,499200,49405935,49905135,85.6515,47.9469,7895.88,,3340,898
istree_exp9_zipf/step10030.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,190,190,190,0,insertIfAbsent,1775699507992672,17756332,1775699507992672,17756332,success,10,332391,2287124,2619515,17756332,7.88082,7.76361,9,544859120,,,,250 11438,,,,,,,1784113958,0,18023128,1784113958,1802137086,59470465,0,600770,59470465,60071236,86.9516,49.0006,8698.51,,3462,969
istree_exp9_zipf/step10031.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1089131978057185,10893677,1089131978057185,10893677,success,29,6237205,4678732,10915937,10893677,1.75013,2.32834,22.8673,611292472,,,,3650 77456,,,,,,,197434510,0,1994555,197434510,199429065,6581150,0,66485,6581150,6647635,104.852,53.4153,10068.9,,3340,2052
istree_exp9_zipf/step10032.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,48,48,48,0,insertIfAbsent,1163024732420649,11629479,1163024732420649,11629479,success,29,6667895,5003301,11671196,11629479,1.75036,2.32436,22.9525,653586976,,,,898 34138,,,,,,,361660899,0,3653078,361660899,365313977,12055363,0,121769,12055363,12177132,98.0595,47.5915,10989.3,,3393,1366
istree_exp9_zipf/step10033.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,96,96,96,0,insertIfAbsent,1333626179943468,13337064,1333626179943468,13337064,success,30,7672272,5756944,13429216,13337064,1.75036,2.31669,23.1683,752036096,,,,230 17276,,,,,,,747710573,0,7553074,747710573,755263647,24923685,0,251769,24923685,25175454,101.263,55.1511,10569.1,,3521,936
istree_exp9_zipf/step10034.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,144,144,144,0,insertIfAbsent,1474098431640009,14740597,1474098431640009,14740597,success,30,8500201,6379406,14879607,14740597,1.7505,2.31065,23.3152,833257992,,,,160 10890,,,,,,,1071253702,0,10815637,1071253702,1082069339,35708456,0,360521,35708456,36068977,102.146,56.8547,11058.9,,3629,565
istree_exp9_zipf/step10035.txt,bronson_pext_bst_occ,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,190,190,190,0,insertIfAbsent,1588577647129238,15887728,1588577647129238,15887728,success,30,9180559,6888439,16068998,15887728,1.75033,2.30643,23.4079,899863888,,,,116 8216,,,,,,,1339685475,0,13531234,1339685475,1353216709,44656182,0,451041,44656182,45107223,103.099,57.7076,11653.2,,3720,573
istree_exp9_zipf/step10036.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,24,24,24,0,insertIfAbsent,1081277791246283,10816249,1081277791246283,10816249,success,67,10816248,10816249,21632497,10816249,2,1,32.285,692239904,,,,3640 71494,,,,,,,180349692,0,1822724,180349692,182172416,6011656,0,60757,6011656,6072413,98.8967,50.5418,11023.7,,3331,2009
istree_exp9_zipf/step10037.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,48,48,48,0,insertIfAbsent,1151110902051069,11515737,1151110902051069,11515737,success,61,11515736,11515737,23031473,11515737,2,1,31.7059,737007136,,,,896 31968,,,,,,,336292079,0,3397161,336292079,339689240,11209735,0,113238,11209735,11322974,90.2795,43.655,11820.2,,3382,1338
istree_exp9_zipf/step10038.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,96,96,96,0,insertIfAbsent,1320434896295047,13205683,1320434896295047,13205683,success,62,13205682,13205683,26411365,13205683,2,1,30.8362,845163680,,,,236 16642,,,,,,,717981509,0,7254667,717981509,725236176,23932716,0,241822,23932716,24174539,93.5893,50.4095,11050.4,,3506,879
istree_exp9_zipf/step10039.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,144,144,144,0,insertIfAbsent,1466217867890146,14660176,1466217867890146,14660176,success,68,14660175,14660176,29320351,14660176,2,1,32.9682,938251232,,,,160 10674,,,,,,,1052487328,0,10633088,1052487328,1063120416,35082910,0,354436,35082910,35437347,94.5293,51.9464,11303.2,,3614,535
istree_exp9_zipf/step10040.txt,natarajan_ext_bst_lf,,reclaimer_debra,allocator_new,pool_none,30000,0.5,0.5,0,1,200000000,190,190,190,0,insertIfAbsent,1593528364333318,15935561,1593528364333318,15935561,success,62,15935560,15935561,31871121,15935561,2,1,32.1593,1019875872,,,,124 8174,,,,,,,1350851791,0,13644681,1350851791,1364496472,45028393,0,454822,45028393,45483215,95.125,52.7641,11599.4,,3710,536
istree_exp9_zipf/step10041.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,24,24,24,0,insertIfAbsent,2271512373256391,22713881,2271512373256391,22713881,success,7,4005954,26496132,30502086,22713881,7.61419,0.857253,4.07016,744419664,4 11017 405648 4160605 115335,4 11007 405642 4160600 115335,1616,111606,,,,,,,273934896,0,30442725,273934896,304377621,9131163,0,1014757,9131163,10145920,90.4346,48.2901,6556.91,,7443,1469
istree_exp9_zipf/step10042.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,48,48,48,0,insertIfAbsent,3055703427023327,30557780,3055703427023327,30557780,success,7,4413051,34602392,39015443,30557780,8.84092,0.883112,4.01822,906684672,7 23026 633073 7114134 202197,6 23015 633062 7114122 202197,7876,46484,,,,,,,466815898,0,51859542,466815898,518675440,15560529,0,1728651,15560529,17289181,80.8769,41.4873,7652.37,,8189,1016
istree_exp9_zipf/step10043.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,96,96,96,0,insertIfAbsent,4414675961893775,44142779,4414675961893775,44142779,success,7,7712934,52059457,59772391,44142779,7.74963,0.84793,4.12071,1450829440,9 35878 725932 11352475 756089,8 35871 725889 11352447 756089,25250,21156,,,,,,,858723372,0,95407870,858723372,954131242,28624112,0,3180262,28624112,31804374,83.2449,47.6972,8208.91,,8915,1163
istree_exp9_zipf/step10044.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,144,144,144,0,insertIfAbsent,5302064488745203,53021783,5302064488745203,53021783,success,7,7605791,60266010,67871801,53021783,8.9237,0.879796,4.02824,1572767312,15 49134 827806 14776223 1091172,10 49133 827764 14776176 1091171,50333,12798,,,,,,,1170055618,0,130020007,1170055618,1300075625,39001853,0,4334000,39001853,43335854,84.6371,49.4295,8933.72,,9966,1011
istree_exp9_zipf/step10045.txt,brown_ext_ist_lf,72,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,190,190,190,0,insertIfAbsent,5949192646880839,59495524,5949192646880839,59495524,success,7,9048713,68562152,77610865,59495524,8.57701,0.86776,4.05627,1821238208,18 56388 739558 17265252 1407175,11 56384 739499 17265188 1407174,70641,9668,,,,,,,1437004110,0,159663785,1437004110,1596667895,47900137,0,5322126,47900137,53222263,85.2271,50.2953,9550.62,,10373,1245
istree_exp9_zipf/step10046.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,24,24,24,0,insertIfAbsent,2241463441970139,22416706,2241463441970139,22416706,success,10,420769,2896431,3317200,22416706,7.88366,7.73942,9,689977600,,,,3736 113856,,,,,,,267331853,0,29694916,267331853,297026769,8911061,0,989830,8911061,9900892,92.2163,47.4383,6754.99,,3403,1645
istree_exp9_zipf/step10047.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,48,48,48,0,insertIfAbsent,3062534979763390,30623006,3062534979763390,30623006,success,10,578235,3980085,4558320,30623006,7.88316,7.69406,9,948130560,,,,974 48372,,,,,,,468623650,0,52065881,468623650,520689531,15620788,0,1735529,15620788,17356317,83.6851,41.1375,7699.34,,3721,1231
istree_exp9_zipf/step10048.txt,brown_ext_abtree_lf,208,reclaimer_debra,allocator_new,pool_none,30000,5,5,0,1,200000000,96,96,96,0,insertIfAbsent,4476859304562905,44766917,4476859304562905,44766917,success,10,856131,5894563,6750694,44766917,7.88512,7.59461,9,1404144352,,,,356 22386,,,,,,,878512570,0,97615882,878512570,976128452,29283752,0,3253862,29283752,32537615,87.5548,48.626,8173.13,,4277,1130
