temp.rundb_YCSB_bronson_pext_bst_occ.txt, 192, 0.1, [summary] txn_cnt=18692464, abort_cnt=9002, run_time=1426.176041, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=299122390, ixTimeContains=1013.302760, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=299122390, ixTotalTime=1013.302760, ixThroughput=56677531.308156, nthreads=192, throughput=2516486.734869, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 192, 0.1, [summary] txn_cnt=18439321, abort_cnt=11098, run_time=906.568706, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=295109004, ixTimeContains=416.280638, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=295109004, ixTotalTime=416.280638, ixThroughput=136112332.902003, nthreads=192, throughput=3905219.327423, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 192, 0.1, [summary] txn_cnt=17266235, abort_cnt=7627, run_time=835.951791, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=276296559, ixTimeContains=296.559270, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=276296559, ixTotalTime=296.559270, ixThroughput=178881406.318324, nthreads=192, throughput=3965679.786944, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 24, 0.5, [summary] txn_cnt=2368296, abort_cnt=562, run_time=103.324549, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37895068, ixTimeContains=77.065713, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37895068, ixTotalTime=77.065713, ixThroughput=11801378.245813, nthreads=24, throughput=550102.610969, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 24, 0.5, [summary] txn_cnt=2369979, abort_cnt=367, run_time=61.997690, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37921433, ixTimeContains=31.360520, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37921433, ixTotalTime=31.360520, ixThroughput=29021023.645792, nthreads=24, throughput=917445.404436, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 24, 0.5, [summary] txn_cnt=2371763, abort_cnt=265, run_time=53.239515, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=37949629, ixTimeContains=19.933585, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=37949629, ixTotalTime=19.933585, ixThroughput=45691285.021145, nthreads=24, throughput=1069174.124935, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 48, 0.5, [summary] txn_cnt=4733750, abort_cnt=2028, run_time=324.536290, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=75750123, ixTimeContains=230.953492, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=75750123, ixTotalTime=230.953492, ixThroughput=15743454.991400, nthreads=48, throughput=700137.417382, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_abtree_lf.txt, 48, 0.5, [summary] txn_cnt=4737097, abort_cnt=2761, run_time=215.303812, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=75804995, ixTimeContains=94.009639, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=75804995, ixTotalTime=94.009639, ixThroughput=38704964.585546, nthreads=48, throughput=1056092.104333, node_size=0, descriptor_size=0
temp.rundb_YCSB_brown_ext_ist_lf.txt, 48, 0.5, [summary] txn_cnt=4722316, abort_cnt=2262, run_time=187.880949, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=75567219, ixTimeContains=56.624742, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=75567219, ixTotalTime=56.624742, ixThroughput=64057272.602778, nthreads=48, throughput=1206461.692185, node_size=0, descriptor_size=0
temp.rundb_YCSB_bronson_pext_bst_occ.txt, 96, 0.5, [summary] txn_cnt=9418949, abort_cnt=10783, run_time=727.944173, time_wait=0.000000, time_ts_alloc=0.000000, time_man=0.000000, time_index=0.000000, time_abort=0.000000, time_cleanup=0.000000, latency=0.000000, deadlock_cnt=0, cycle_detect=0, dl_detect_time=0.000000, dl_wait_time=0.000000, time_query=0.000000, debug1=0.000000, debug2=0.000000, debug3=0.000000, debug4=0.000000, debug5=0.000000, ixNumContains=150753994, ixTimeContains=504.173864, ixNumInsert=0, ixTimeInsert=0.000000, ixNumRangeQuery=0, ixTimeRangeQuery=0.000000, ixTotalOps=150753994, ixTotalTime=504.173864, ixThroughput=28705144.112746, nthreads=96, throughput=1242154.464715, node_size=0, descriptor_size=0
